Date,Description,Amount,Balance,Currency
2026-07-01,PAYROLL ACME CORP,2500.00,3750.00,EUR
2026-07-02,SUPERMARKET FRESH MARKET,-52.30,3697.70,EUR
2026-07-03,NETFLIX SUBSCRIPTION,-15.99,3681.71,EUR
2026-07-04,FUEL STATION HIGHWAY,-48.00,3633.71,EUR
2026-07-05,PHARMACY HEALTH PLUS,-12.50,3621.21,EUR
2026-07-07,RESTAURANT LA PIAZZA,-38.00,3583.21,EUR
2026-07-08,ONLINE TRANSFER TO SAVINGS,-300.00,3283.21,EUR
2026-07-10,SUPERMARKET FRESH MARKET,-64.15,3219.06,EUR
2026-07-11,GYM MEMBERSHIP MONTHLY,-35.00,3184.06,EUR
2026-07-14,ELECTRICITY BILL,-87.40,3096.66,EUR
2026-07-15,INTERNET SERVICE PROVIDER,-29.99,3066.67,EUR
2026-07-17,COFFEE SHOP THE BEAN,-4.50,3062.17,EUR
2026-07-18,BOOKSTORE PAGES & CO,-23.00,3039.17,EUR
2026-07-20,SUPERMARKET FRESH MARKET,-71.80,2967.37,EUR
2026-07-22,RESTAURANT BURGER HUB,-19.90,2947.47,EUR
2026-07-25,FREELANCE INVOICE PAYMENT,750.00,3697.47,EUR
2026-07-28,MOBILE PHONE PLAN,-18.00,3679.47,EUR
2026-07-30,REVERSAL SUPERMARKET FRESH MARKET,52.30,3731.77,EUR
